Record Count,Loaded to Repository,Survey,Year,Species Code,Common Name,Scientific Name,Sex,Age (years),Age Pop,Mean Length (mm),Std Deviation Length
1,2021-09-29 10:30:17,GOA,1990,30560,sharpchin rockfish,Sebastes zacentrus,Female,-9,28174334,319.468091774592,35.0439628770538
1,2021-09-29 10:30:17,GOA,1990,30560,sharpchin rockfish,Sebastes zacentrus,Female,6,4152955.5,240,0
1,2021-09-29 10:30:17,GOA,1990,30560,sharpchin rockfish,Sebastes zacentrus,Female,7,8962671.5,225.61310040204,19.7829862822211
1,2021-09-29 10:30:17,GOA,1990,30560,sharpchin rockfish,Sebastes zacentrus,Female,8,6484295,255.932800713108,4.91221770991792
1,2021-09-29 10:30:17,GOA,1990,30560,sharpchin rockfish,Sebastes zacentrus,Female,9,10236091,250.879548648014,20.9785596725037
1,2021-09-29 10:30:17,GOA,1990,30560,sharpchin rockfish,Sebastes zacentrus,Female,10,5459675.5,239.660984430302,9.99425177006787
1,2021-09-29 10:30:17,GOA,1990,30560,sharpchin rockfish,Sebastes zacentrus,Female,11,7397070.5,253.157026149744,14.8863510433979
1,2021-09-29 10:30:17,GOA,1990,30560,sharpchin rockfish,Sebastes zacentrus,Female,12,2557378,290,0
1,2021-09-29 10:30:17,GOA,1990,30560,sharpchin rockfish,Sebastes zacentrus,Female,13,2776569.5,300,0
1,2021-09-29 10:30:17,GOA,1990,30560,sharpchin rockfish,Sebastes zacentrus,Female,14,5333947.5,295.205468370283,4.99577649107941
1,2021-09-29 10:30:17,GOA,1990,30560,sharpchin rockfish,Sebastes zacentrus,Male,-9,6915602,261.481043877308,63.4088346325913
1,2021-09-29 10:30:17,GOA,1990,30560,sharpchin rockfish,Sebastes zacentrus,Male,7,1448156.5,195.925744213419,4.91355244719371
1,2021-09-29 10:30:17,GOA,1990,30560,sharpchin rockfish,Sebastes zacentrus,Male,8,3756944.66666667,210,0
1,2021-09-29 10:30:17,GOA,1990,30560,sharpchin rockfish,Sebastes zacentrus,Male,9,16325459.5,250.151339997505,7.55849990937662
1,2021-09-29 10:30:17,GOA,1990,30560,sharpchin rockfish,Sebastes zacentrus,Male,10,10717910.8333333,216.646031685435,6.1890051202404
1,2021-09-29 10:30:17,GOA,1990,30560,sharpchin rockfish,Sebastes zacentrus,Male,11,5721809.5,229.688297032608,20.2300254641927
1,2021-09-29 10:30:17,GOA,1990,30560,sharpchin rockfish,Sebastes zacentrus,Male,12,9786826,230,0
1,2021-09-29 10:30:17,GOA,1990,30560,sharpchin rockfish,Sebastes zacentrus,Male,31,4536302,270,0
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Female,-9,945079,567.821049880486,52.766106394374
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Female,11,1006681.27380952,485.725223925618,63.8576501874156
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Female,12,950224.864285714,478.806989151688,42.4975237406902
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Female,13,599390.880952381,493.988995653802,66.8269390667278
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Female,14,192084.5,487.369595152134,52.4011040332559
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Female,15,516347.733333333,500.941681936308,53.5443852039384
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Female,16,230700.464285714,445.379876472476,13.1210050056677
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Female,17,18195,410,0
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Female,18,47967.5,620,0
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Female,23,16859,640,0
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Female,24,71906.5,430,0
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Female,25,168738.7,506.440733512822,24.9584512128665
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Female,27,208645.5,490,0
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Female,35,74269,500,0
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Female,39,89231.5,530,0
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Female,47,71906.5,430,0
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Female,48,131396.333333333,438.194305269807,14.6559344240922
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Female,57,75665.25,520,0
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Female,58,51707.5,420,0
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Male,-9,1034878,543.71701785138,58.6241363000007
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Male,9,127544.125,442.841379404971,9.58783411814198
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Male,10,127030,460,0
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Male,11,1407225.08333333,469.477649778959,42.115256252044
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Male,12,1070932.39166667,460.573534259909,26.9810742607855
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Male,13,422814.95,447.582377349713,13.9076277151664
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Male,14,394971.4,460.778646251349,25.9135167305913
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Male,15,259589.2,510.505416506799,11.2970435135178
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Male,16,355941.45,504.536767212697,51.3516523421595
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Male,17,51391.6666666667,380,0
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Male,18,8988,390,0
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Male,22,480415.666666667,509.28114334323,17.7161050528166
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Male,24,129512.5,490,0
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Male,26,8988,390,0
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Male,31,60035.5,420,0
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Male,34,129512.5,490,0
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Male,35,107688.2,440,0
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Male,41,224765.2,464.348324384736,4.95734998688393
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Male,44,51391.6666666667,380,0
1,2021-09-29 10:30:17,GOA,1993,30100,silvergray rockfish,Sebastes brevispinis,Male,46,9171.5,610,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,-9,238242,247.434709245221,35.513648804975
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,7,10744,390,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,9,75340.5,431.095227666395,9.93984287394673
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,10,75340.5,431.095227666395,9.93984287394673
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,12,266491,447.491558814369,25.464042301868
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,13,643070.25952381,470.707911242861,32.4688256527122
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,14,476020.728860029,491.886965472711,32.5993714831464
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,15,674865.154545455,483.274431420533,36.1487073828039
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,16,893044.527272727,485.358311128321,33.6030144687572
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,17,412055.054906205,486.111913298611,26.5965958269477
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,18,159330.727272727,473.703060186987,34.3794478930578
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,19,248368.322222222,500.212467156194,32.0165088313243
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,20,266425.379365079,502.548361243697,8.97838327632541
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,21,97706.5238095238,526.298882416098,11.8333025363266
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,22,34398.4,550,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,23,95867.8833333333,565.148870676711,43.4395444091063
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,24,25958.3333333333,540,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,25,117842.022222222,542.138780525566,17.5303537693571
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,26,41005,573.222338739178,19.7387064685114
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,27,149561.09047619,513.628070249618,37.8264179726297
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,28,120123.642857143,530.635690250105,35.0421457481509
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,29,79237.5,578.243281274649,19.0196345827345
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,30,25144.25,580,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,31,26121.4,560,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,32,44350.6,580.735277538523,9.97293171245491
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,33,26121.4,560,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,35,17199.2,550,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,38,3199.25,640,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,39,25144.25,580,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,41,23805.8,590,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,43,5191.65,647.675401847197,9.72606001564431
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,44,8765.5,620,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,45,2578.8,670,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,46,2578.8,670,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,47,10278.7333333333,692.246515459103,15.8121111528468
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,48,12076,680,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,49,97521.1333333333,627.901945356118,32.7068148595955
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,50,85247.25,649.624709301473,1.90054304786796
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,51,90399,610.686843881016,27.2165184831587
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,52,33186.9,649.99499802633,23.7471790545315
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,53,7858.4,682.39387152601,13.0510790303625
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,54,8286.33333333333,700,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,55,2578.8,670,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,56,7858.4,682.39387152601,13.0510790303625
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,57,23805.8,590,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,58,12076,680,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,59,2578.8,670,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Female,63,5866,690,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,-9,127863,355.14699326623,18.9851899908813
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,9,21155,420,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,11,209819.128205128,490.734359239325,8.1367740059571
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,12,122753.216666667,464.103774334223,29.7179917930831
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,13,852206.467697335,462.649486550495,21.7196042599262
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,14,1139933.01201609,477.060611708718,26.4472473137083
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,15,1489847.72471091,474.56005721007,31.3995266738935
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,16,1034180.16025282,490.686815256388,27.515787195822
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,17,755710.258593694,483.464037124143,27.3245577162276
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,18,237717.020081879,500.360532735424,30.3774956809957
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,19,433116.961965812,491.218972008381,28.6574867849895
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,20,126394.993464052,503.798675218479,51.3431658542614
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,21,111953.866666667,497.733971373923,19.8712132056854
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,22,223954.108543417,516.053919666359,26.5749535255016
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,23,177820.358974359,508.420158690837,8.3143336003479
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,24,301917.385164835,513.807901048311,22.627781965891
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,25,49634.6666666667,520,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,26,204174.322649573,523.998595322166,21.7258572737343
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,27,26628.3333333333,550,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,28,104100.980769231,520.305906746242,9.99531995799147
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,29,50458.2307692308,510,
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,30,104804.865079365,557.359749369444,18.5331174494843
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,31,11645.5,580,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,32,131370.211538462,512.249980274477,14.7457584243469
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,34,62195.6666666667,542.215534844335,44.1608292999234
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,35,10225.3333333333,600,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,36,65235.1111111111,540,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,37,104833,541.246649432908,21.4128012961378
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,40,10225.3333333333,600,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,41,11645.5,580,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,42,25424.6666666667,602.137818916013,14.7243987803413
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,45,61052.6984126984,553.202575448741,19.0230718948599
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,46,82212.75,543.900520296426,19.047213637319
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,47,31375.3333333333,559.077831842424,21.5002995231721
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,48,4747,610,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,50,17855.6666666667,607.283028730375,14.825241307187
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,52,7569,590,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,54,5288,650,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,57,12561,630,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,58,11645.5,580,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,60,10286.6666666667,620,0
1,2021-09-29 10:30:17,GOA,1996,30100,silvergray rockfish,Sebastes brevispinis,Male,63,4747,610,0
1,2021-09-29 10:30:17,GOA,1996,30430,redstripe rockfish,Sebastes proriger,Female,-9,13396621,353.600826656214,33.7757272968473
1,2021-09-29 10:30:17,GOA,1996,30430,redstripe rockfish,Sebastes proriger,Female,4,9969.33333333333,220,0
1,2021-09-29 10:30:17,GOA,1996,30430,redstripe rockfish,Sebastes proriger,Female,5,221814.333333333,250.109716384424,17.2399441350426
1,2021-09-29 10:30:17,GOA,1996,30430,redstripe rockfish,Sebastes proriger,Female,6,455940.892857143,283.349458282696,7.68734999354457
1,2021-09-29 10:30:17,GOA,1996,30430,redstripe rockfish,Sebastes proriger,Female,7,296997.171550672,310.035929906438,21.3983301165732
1,2021-09-29 10:30:17,GOA,1996,30430,redstripe rockfish,Sebastes proriger,Female,8,799672.22845292,311.735440343701,19.0855467557402
1,2021-09-29 10:30:17,GOA,1996,30430,redstripe rockfish,Sebastes proriger,Female,9,1029070.37146089,329.559590843447,14.5945521694785
1,2021-09-29 10:30:17,GOA,1996,30430,redstripe rockfish,Sebastes proriger,Female,10,643266.277211269,351.807709945356,20.4296344229484
1,2021-09-29 10:30:17,GOA,1996,30430,redstripe rockfish,Sebastes proriger,Female,11,619605.434733894,354.560262074653,12.8945503980557
1,2021-09-29 10:30:17,GOA,1996,30430,redstripe rockfish,Sebastes proriger,Female,12,896632.15045608,357.741513793182,13.9049666750304
1,2021-09-29 10:30:17,GOA,1996,30430,redstripe rockfish,Sebastes proriger,Female,13,1727984.10303544,353.262811947451,16.5924944309719
1,2021-09-29 10:30:17,GOA,1996,30430,redstripe rockfish,Sebastes proriger,Female,14,2382453.26764437,364.202918864388,15.4971078635278
1,2021-09-29 10:30:17,GOA,1996,30430,redstripe rockfish,Sebastes proriger,Female,15,1545638.63037061,361.28630596007,20.3061952942873
1,2021-09-29 10:30:17,GOA,1996,30430,redstripe rockfish,Sebastes proriger,Female,16,841853.662828593,365.823454295742,14.2008868787311
1,2021-09-29 10:30:17,GOA,1996,30430,redstripe rockfish,Sebastes proriger,Female,17,298723.9872558,377.131532336751,18.7879610923304
